,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,28,26,1,1,79,64,20,44,1,1
1,Manchester City_17_18,28,24,3,1,75,82,20,62,1,1
2,Liverpool_18_19,28,21,6,1,69,64,15,49,1,2
3,Chelsea_16_17,28,22,3,3,69,59,21,38,1,1
4,Manchester City_20_21,28,20,5,3,65,56,19,37,1,1
5,Tottenham_16_17,28,17,8,3,59,55,21,34,2,2
6,Liverpool_17_18,28,16,9,3,57,65,32,33,3,4
7,Manchester Utd_16_17,28,14,11,3,53,42,23,19,5,6
8,Manchester City_18_19,28,22,2,4,68,75,20,55,2,1
9,Manchester Utd_20_21,28,15,9,4,54,55,32,23,2,2
