,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,32,24,7,1,79,72,19,53,2,2
1,Liverpool_19_20,32,28,2,2,86,70,25,45,1,1
2,Manchester City_17_18,32,27,3,2,84,90,24,66,1,1
3,Tottenham_16_17,32,21,8,3,71,68,22,46,2,2
4,Manchester Utd_16_17,32,17,12,3,63,50,24,26,5,6
5,Manchester City_18_19,32,26,2,4,80,83,21,62,1,1
6,Manchester City_20_21,32,23,5,4,74,67,23,44,1,1
7,Liverpool_17_18,32,19,9,4,66,75,35,40,4,4
8,Manchester Utd_20_21,32,19,9,4,66,64,35,29,2,2
9,Chelsea_16_17,32,24,3,5,75,65,27,38,1,1
