,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,35,3,5,27,14,20,69,-49,20,20
1,Sheffield Utd_20_21,35,5,2,28,17,18,62,-44,20,20
2,Fulham_18_19,35,6,5,24,23,33,76,-43,19,19
3,Norwich City_19_20,35,5,6,24,21,26,67,-41,20,20
4,West Brom_20_21,35,5,11,19,26,32,68,-36,19,19
5,Cardiff City_18_19,35,9,4,22,31,30,65,-35,18,18
6,Stoke City_17_18,35,6,11,18,29,32,65,-33,19,19
7,Sunderland_16_17,35,6,6,23,24,28,60,-32,20,20
8,Hull City_16_17,35,9,7,19,34,36,67,-31,17,18
9,Swansea City_16_17,35,9,5,21,32,40,69,-29,18,15
