,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,34,3,5,26,14,19,67,-48,20,20
1,Fulham_18_19,34,5,5,24,20,32,76,-44,19,19
2,Sheffield Utd_20_21,34,5,2,27,17,18,60,-42,20,20
3,Norwich City_19_20,34,5,6,23,21,26,63,-37,20,20
4,Sunderland_16_17,34,5,6,23,21,26,60,-34,20,20
5,West Brom_20_21,34,5,11,18,26,31,65,-34,19,19
6,Stoke City_17_18,34,6,10,18,28,31,64,-33,19,19
7,Cardiff City_18_19,34,9,4,21,31,30,63,-33,18,18
8,Hull City_16_17,34,9,6,19,33,36,67,-31,17,18
9,Aston Villa_19_20,34,7,6,21,27,36,65,-29,19,17
