,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,27,2,5,20,11,14,50,-36,20,20
1,West Brom_20_21,27,3,8,16,17,20,56,-36,19,19
2,West Brom_17_18,27,3,11,13,20,21,40,-19,20,20
3,Sheffield Utd_20_21,27,4,2,21,14,16,43,-27,20,20
4,Fulham_18_19,27,4,5,18,17,26,61,-35,19,19
5,Norwich City_19_20,27,4,6,17,18,24,51,-27,20,20
6,Middlesbrough_16_17,27,4,10,13,22,19,30,-11,18,19
7,Fulham_20_21,27,4,11,12,23,21,33,-12,18,18
8,Sunderland_16_17,27,5,4,18,19,24,50,-26,20,20
9,Hull City_16_17,27,5,6,16,21,24,53,-29,19,18
