,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,33,3,5,25,14,19,63,-44,20,20
1,West Brom_17_18,33,3,12,18,21,26,52,-26,20,20
2,Fulham_18_19,33,4,5,24,17,30,76,-46,19,19
3,Middlesbrough_16_17,33,4,12,17,24,23,43,-20,19,19
4,Sheffield Utd_20_21,33,5,2,26,17,18,56,-38,20,20
5,Norwich City_19_20,33,5,6,22,21,25,61,-36,20,20
6,Sunderland_16_17,33,5,6,22,21,26,59,-33,20,20
7,West Brom_20_21,33,5,10,18,25,30,64,-34,19,19
8,Fulham_20_21,33,5,12,16,27,25,43,-18,18,18
9,Southampton_17_18,33,5,13,15,28,33,53,-20,18,17
