,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,21,2,2,17,8,12,34,-22,20,20
1,Huddersfield_18_19,21,2,4,15,10,13,37,-24,20,20
2,West Brom_20_21,21,2,6,13,12,17,50,-33,19,19
3,Fulham_20_21,21,2,8,11,14,17,31,-14,18,18
4,West Brom_17_18,21,2,10,9,16,15,28,-13,19,20
5,Fulham_18_19,21,3,5,13,14,19,47,-28,19,19
6,Norwich City_19_20,21,3,5,13,14,22,41,-19,20,20
7,Southampton_18_19,21,3,7,11,16,21,38,-17,18,16
8,Swansea City_16_17,21,4,3,14,15,23,49,-26,20,15
9,Sunderland_16_17,21,4,3,14,15,20,40,-20,19,20
