,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,34,3,5,26,14,19,67,-48,20,20
1,West Brom_17_18,34,4,12,18,24,27,52,-25,20,20
2,Sheffield Utd_20_21,34,5,2,27,17,18,60,-42,20,20
3,Fulham_18_19,34,5,5,24,20,32,76,-44,19,19
4,Norwich City_19_20,34,5,6,23,21,26,63,-37,20,20
5,Sunderland_16_17,34,5,6,23,21,26,60,-34,20,20
6,West Brom_20_21,34,5,11,18,26,31,65,-34,19,19
7,Fulham_20_21,34,5,12,17,27,25,45,-20,18,18
8,Middlesbrough_16_17,34,5,12,17,27,24,43,-19,19,19
9,Southampton_17_18,34,5,14,15,29,33,53,-20,18,17
