,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,28,26,1,1,79,64,20,44,1,1
1,Manchester City_17_18,28,24,3,1,75,82,20,62,1,1
2,Chelsea_16_17,28,22,3,3,69,59,21,38,1,1
3,Manchester City_18_19,28,22,2,4,68,75,20,55,2,1
4,Liverpool_18_19,28,21,6,1,69,64,15,49,1,2
5,Manchester City_20_21,28,20,5,3,65,56,19,37,1,1
6,Tottenham_18_19,28,20,0,8,60,55,29,26,3,4
7,Manchester Utd_17_18,28,18,5,5,59,53,20,33,2,2
8,Manchester City_19_20,28,18,3,7,57,68,31,37,2,2
9,Tottenham_16_17,28,17,8,3,59,55,21,34,2,2
