,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,20,19,1,0,58,61,12,49,1,1
1,Liverpool_19_20,20,19,1,0,58,49,14,35,1,1
2,Liverpool_18_19,20,17,3,0,54,48,8,40,1,2
3,Chelsea_16_17,20,16,1,3,49,42,15,27,1,1
4,Manchester City_18_19,20,15,2,3,47,54,16,38,2,1
5,Tottenham_18_19,20,15,0,5,45,43,21,22,3,4
6,Liverpool_16_17,20,13,5,2,44,48,23,25,2,4
7,Manchester City_20_21,20,13,5,2,44,37,13,24,1,1
8,Manchester Utd_17_18,20,13,4,3,43,43,16,27,2,2
9,Chelsea_18_19,20,13,4,3,43,38,16,22,4,3
