,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,29,21,7,1,70,64,15,49,2,2
1,Manchester City_17_18,29,25,3,1,78,83,20,63,1,1
2,Manchester City_18_19,29,23,2,4,71,76,20,56,1,1
3,Liverpool_19_20,29,27,1,1,82,66,21,45,1,1
4,Manchester City_20_21,29,21,5,3,68,61,21,40,1,1
5,Tottenham_16_17,29,18,8,3,62,57,21,36,2,2
6,Manchester Utd_17_18,29,19,5,5,62,56,22,34,2,2
7,Chelsea_16_17,29,22,3,4,69,60,23,37,1,1
8,Tottenham_17_18,29,17,7,5,58,55,24,31,4,3
9,Manchester Utd_16_17,29,14,12,3,54,43,24,19,6,6
