,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,21,17,3,1,54,49,10,39,1,2
1,Manchester City_17_18,21,19,2,0,59,61,12,49,1,1
2,Manchester City_20_21,21,14,5,2,47,39,13,26,1,1
3,Liverpool_19_20,21,20,1,0,61,50,14,36,1,1
4,Tottenham_16_17,21,13,6,2,45,43,14,29,2,2
5,Chelsea_17_18,21,14,3,4,45,39,14,25,2,5
6,Chelsea_16_17,21,17,1,3,52,45,15,30,1,1
7,Manchester Utd_17_18,21,13,5,3,44,43,16,27,3,2
8,Chelsea_18_19,21,13,5,3,44,38,16,22,4,3
9,Manchester City_18_19,21,16,2,3,50,56,17,39,2,1
