,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,32,27,3,2,84,90,24,66,1,1
1,Manchester City_18_19,32,26,2,4,80,83,21,62,1,1
2,Liverpool_18_19,32,24,7,1,79,72,19,53,2,2
3,Manchester City_19_20,32,21,3,8,66,81,33,48,2,2
4,Tottenham_16_17,32,21,8,3,71,68,22,46,2,2
5,Liverpool_19_20,32,28,2,2,86,70,25,45,1,1
6,Manchester City_20_21,32,23,5,4,74,67,23,44,1,1
7,Liverpool_17_18,32,19,9,4,66,75,35,40,4,4
8,Chelsea_16_17,32,24,3,5,75,65,27,38,1,1
9,Manchester Utd_17_18,32,22,5,5,71,63,25,38,2,2
