,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,37,31,4,2,97,105,27,78,1,1
1,Manchester City_18_19,37,31,2,4,95,91,22,69,1,1
2,Liverpool_18_19,37,29,7,1,94,87,22,65,2,2
3,Manchester City_19_20,37,25,3,9,78,97,35,62,2,2
4,Tottenham_16_17,37,25,8,4,83,79,25,54,2,2
5,Liverpool_19_20,37,31,3,3,96,82,32,50,1,1
6,Chelsea_16_17,37,29,3,5,90,80,32,48,1,1
7,Manchester City_20_21,37,26,5,6,83,78,32,46,1,1
8,Liverpool_17_18,37,20,12,5,72,80,38,42,4,4
9,Manchester Utd_17_18,37,24,6,7,78,67,28,39,2,2
