,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_18_19,15,13,2,0,41,45,7,38,1,1
1,Manchester City_17_18,15,14,1,0,43,46,10,36,1,1
2,Manchester Utd_17_18,15,11,2,2,35,35,9,26,2,2
3,Leicester City_19_20,15,11,2,2,35,35,9,26,2,5
4,Manchester City_19_20,15,10,2,3,32,43,17,26,3,2
5,Liverpool_18_19,15,12,3,0,39,30,6,24,2,2
6,Liverpool_19_20,15,14,1,0,43,37,14,23,1,1
7,Chelsea_16_17,15,12,1,2,37,33,11,22,1,1
8,Arsenal_16_17,15,10,4,1,34,36,15,21,2,5
9,Chelsea_18_19,15,9,4,2,31,31,13,18,4,3
