,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,22,20,2,0,62,64,13,51,1,1
1,Manchester City_18_19,22,17,2,3,53,59,17,42,2,1
2,Liverpool_18_19,22,18,3,1,57,50,10,40,1,2
3,Liverpool_19_20,22,21,1,0,64,52,14,38,1,1
4,Manchester City_19_20,22,15,2,5,47,62,25,37,2,2
5,Chelsea_16_17,22,18,1,3,55,47,15,32,1,1
6,Manchester City_20_21,22,15,5,2,50,43,14,29,1,1
7,Manchester Utd_17_18,22,14,5,3,47,45,16,29,2,2
8,Tottenham_16_17,22,13,7,2,46,45,16,29,3,2
9,Arsenal_16_17,22,14,5,3,47,50,23,27,2,5
