,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,25,24,1,0,73,60,15,45,1,1
1,Manchester City_17_18,25,22,2,1,68,73,18,55,1,1
2,Liverpool_18_19,25,19,5,1,62,56,15,41,1,2
3,Chelsea_16_17,25,19,3,3,60,52,18,34,1,1
4,Manchester City_18_19,25,19,2,4,59,66,20,46,2,1
5,Manchester City_20_21,25,18,5,2,59,50,15,35,1,1
6,Tottenham_18_19,25,19,0,6,57,51,24,27,3,4
7,Manchester Utd_17_18,25,16,5,4,53,49,18,31,2,2
8,Manchester City_16_17,25,16,4,5,52,51,29,22,2,3
9,Manchester City_19_20,25,16,3,6,51,65,29,36,2,2
