,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,38,32,4,2,100,106,27,79,1,1
1,Manchester City_19_20,38,26,3,9,81,102,35,67,2,2
2,Manchester City_18_19,38,32,2,4,98,95,23,72,1,1
3,Liverpool_18_19,38,30,7,1,97,89,22,67,2,2
4,Tottenham_16_17,38,26,8,4,86,86,26,60,2,2
5,Liverpool_19_20,38,32,3,3,99,85,33,52,1,1
6,Chelsea_16_17,38,30,3,5,93,85,33,52,1,1
7,Liverpool_17_18,38,21,12,5,75,84,38,46,4,4
8,Manchester City_20_21,38,27,5,6,86,83,32,51,1,1
9,Manchester City_16_17,38,23,9,6,78,80,39,41,3,3
