,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,35,30,3,2,93,102,26,76,1,1
1,Manchester City_19_20,35,23,3,9,72,91,34,57,2,2
2,Manchester City_18_19,35,29,2,4,89,89,22,67,1,1
3,Liverpool_17_18,35,20,11,4,71,80,37,43,3,4
4,Liverpool_18_19,35,27,7,1,88,79,20,59,2,2
5,Liverpool_19_20,35,30,3,2,93,76,27,49,1,1
6,Chelsea_16_17,35,27,3,5,84,75,29,46,1,1
7,Manchester City_20_21,35,25,5,5,80,72,26,46,1,1
8,Tottenham_16_17,35,23,8,4,77,71,23,48,2,2
9,Liverpool_16_17,35,20,9,6,69,71,42,29,4,4
