,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,30,3,5,22,14,15,53,-38,20,20
1,Sheffield Utd_20_21,30,4,2,24,14,17,52,-35,20,20
2,Fulham_18_19,30,4,5,21,17,28,68,-40,19,19
3,Sunderland_16_17,30,5,5,20,20,24,53,-29,20,20
4,West Brom_17_18,30,3,11,16,20,23,47,-24,20,20
5,West Brom_20_21,30,4,9,17,21,25,59,-34,19,19
6,Norwich City_19_20,30,5,6,19,21,25,55,-30,20,20
7,Middlesbrough_16_17,30,4,11,15,23,22,37,-15,19,19
8,Aston Villa_19_20,30,7,5,18,26,35,58,-23,19,17
9,Fulham_20_21,30,5,11,14,26,23,38,-15,18,18
