,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,23,2,5,16,11,13,40,-27,20,20
1,Sheffield Utd_20_21,23,3,2,18,11,15,37,-22,20,20
2,West Brom_20_21,23,2,6,15,12,18,54,-36,19,19
3,Fulham_18_19,23,3,5,15,14,21,51,-30,19,19
4,Sunderland_16_17,23,4,4,15,16,20,42,-22,20,20
5,Hull City_16_17,23,4,5,14,17,20,47,-27,19,18
6,Norwich City_19_20,23,4,5,14,17,23,45,-22,20,20
7,Swansea City_17_18,23,4,5,14,17,14,35,-21,20,18
8,Fulham_20_21,23,3,9,11,18,19,31,-12,18,18
9,Cardiff City_18_19,23,5,4,14,19,19,44,-25,18,18
